"";"region";"iso3c";"country";"year";"system";"leader";"party_name";"pf_party_id";"party_short";"cg_pcp_sexp";"cg_prop_sexp";"cg_prop_def";"cg_gdp_sexp";"n_sp";"n_cct";"n_lpi";"n_ncp";"all_cmd_imports_pcp";"all_cmd_prop_imports";"all_cmd_exports_pcp";"all_cmd_prop_exports";"all_cmd_net_pcp";"all_cmd_net_prop";"pop";"maj";"execrlc";"exelec";"statecap_baseline";"gdp_pcp_ppp";"inf_eop_g";"unemp";"gg_rev";"cgov_debt";"kof_trade_df";"kof_trade_dj";"urban_pop";"dp_ratio_old";"dp_ratio_yg";"civtot";"ajr_settmort";"v2pariglef_ord"
"1";"Caribbean";"ATG";"Antigua & Barbuda";1990;;;;;;;;;;0;0;0;0;;;;;;;;;;;;16038,962;7,861;;19,015;98,070485804709;67,146614074707;;35,426;14,7329983943647;48,5911845444657;;;
"2";"Caribbean";"ATG";"Antigua & Barbuda";1991;;;;;;;;;;0;0;0;0;;;;;;;;;;;;16255,198;3,206;;17,642;99,074392143392;71,4439315795898;;35,465;14,502698535081;48,4040092521203;;;
"3";"Caribbean";"ATG";"Antigua & Barbuda";1992;;;;;;;;;;0;0;0;0;;;;;;;;;;;;16178,585;2,862;;18,801;95,479357783878;72,6016540527344;;35,085;14,0748352171625;47,3346532668354;;;
"4";"Caribbean";"ATG";"Antigua & Barbuda";1993;;;;;;;;;;1;0;0;1;;;;;;;;;;;;16656,261;-0,545;;17,949;90,146321602626;71,4835052490234;;34,709;13,6183921511202;46,4489676380144;;;
"5";"Caribbean";"ATG";"Antigua & Barbuda";1994;;;;;;;;;;0;0;0;0;;;;;;;;;;;;17319,18;0,123;;17,838;89,655473375748;69,4653778076172;;34,334;13,2127988580944;45,8046865707149;;;
"6";"Caribbean";"ATG";"Antigua & Barbuda";1995;;;;;;;;;;0;0;0;0;1664,36176346739;22,86;852,267026847926;76,41;-812,094736619465;53,55;68;;;;;16128,15;-1,265;;18,243;98,32245927963;70,5673904418945;;33,961;12,8307399763467;45,2960137281729;;;
"7";"Caribbean";"ATG";"Antigua & Barbuda";1996;;;;;;;;;;0;0;0;0;1784,56168386538;24,62;197,490221959105;26,16;-1587,07146190628;1,54;70;;;;;16729,433;3,187;;19,246;91,673631119709;68,3810424804688;;33,59;12,4431985169444;44,9325164469966;;;
"8";"Caribbean";"ATG";"Antigua & Barbuda";1997;;;;;;;;;;0;0;0;0;2484,68107016515;35,1;147,498162433223;20,28;-2337,18290773193;-14,82;71;;;;;17159,331;-1,124;;18,081;87,022284400911;67,2117767333984;;33,221;12,0786578779127;44,5603051079121;;;
"9";"Caribbean";"ATG";"Antigua & Barbuda";1998;;;;;;;;;;0;0;0;0;1797,93593525837;25,49;250,808727892305;38,06;-1547,12720736607;12,57;73;;;;;17493,019;4,66;;20,66;102,60881397553;65,6391906738281;;32,855;11,7634403975647;44,0182432287073;;;
"10";"Caribbean";"ATG";"Antigua & Barbuda";1999;;;;;;;;;;0;0;0;0;1206,61073856837;16,48;282,755443493922;42,06;-923,855295074453;25,58;74;;;;;17703,964;1,098;;18,785;104,60257110237;66,06884765625;;32,49;11,5104889225207;43,3324925379409;;;
"11";"Caribbean";"ATG";"Antigua & Barbuda";2000;;;;;;;;;;0;0;0;0;1433,45954359272;20,87;670,088012698413;76,32;-763,371530894309;55,45;75;;;;;18413,006;0,432;;18,087;105,13237316394;63,8411560058594;;32,127;11,3447452884536;42,7824870381039;;;
"12";"Caribbean";"ATG";"Antigua & Barbuda";2001;;;;;;;;;;0;0;0;0;2405,85791572953;34,77;129,468292619491;19,98;-2276,38962311004;-14,79;76;;;;;17280,92;0,935;;17,114;117,95075076009;68,5826034545898;;31,74;11,2231928500817;42,2458490527972;;;
